,site,NAAMP,file_name,folder_date,Lcapito,score,year,logger,time_stamp,date
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/3-24-14/20140325_232300.wav,W37,1,20140325_232300,3-24-14,False,53.17185794436769,2014,3a,32.5,2014-03-25 23:23:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/3-24-14/20140325_222300.wav,W37,1,20140325_222300,3-24-14,False,58.68121410408811,2014,3a,259.5,2014-03-25 22:23:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/3-24-14/20140325_212300.wav,W37,1,20140325_212300,3-24-14,False,64.70571962155468,2014,3a,176.5,2014-03-25 21:23:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/3-24-14/20140325_202300.wav,W37,1,20140325_202300,3-24-14,False,50.08429917491173,2014,3a,205.0,2014-03-25 20:23:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/3-24-14/20140325_192300.wav,W37,1,20140325_192300,3-24-14,False,50.03727995929429,2014,3a,196.0,2014-03-25 19:23:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/3-24-14/20140325_002200.wav,W37,2,20140325_002200,3-24-14,False,45.93610645633335,2014,3a,6.5,2014-03-25 00:22:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/3-24-14/20140324_232200.wav,W37,2,20140324_232200,3-24-14,False,50.98235700306954,2014,3a,34.0,2014-03-24 23:22:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/3-24-14/20140324_222200.wav,W37,1,20140324_222200,3-24-14,False,55.989769299994,2014,3a,3.0,2014-03-24 22:22:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/3-24-14/20140324_212200.wav,W37,1,20140324_212200,3-24-14,False,44.9227174144079,2014,3a,185.0,2014-03-24 21:22:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/3-24-14/20140324_202200.wav,W37,1,20140324_202200,3-24-14,False,51.98716579150625,2014,3a,150.5,2014-03-24 20:22:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/3-24-14/20140324_192200.wav,W37,1,20140324_192200,3-24-14,False,80.22238877551447,2014,3a,45.5,2014-03-24 19:22:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/3-17-14/20140321_001900.wav,W03,1,20140321_001900,3-17-14,False,75.00621260112396,2014,3a,131.5,2014-03-21 00:19:00
